Sequence_ID	MAG_ID	Habitat	Sample_group	Combined_score	IdrA_score	AioA_score	IdrA_minus_AioA	Combined_640_pass	HMM_direction	Tree_clade	Bootstrap_support	nearest_reference	nearest_reference_family	tree_distance	gene_neighborhood	idrB_present	idrP1_present	idrP2_present	aioB_present	Final_class	Confidence	Evidence_summary	Conflict_flags	target_annotation	neighborhood_notes	Previous_Final_class	Previous_Confidence	B_related_hit	B_related_similarity_or_tree_clade	P_like_count	P_like_hit_ids	gene_order	strand_consistency	neighborhood_completeness	neighborhood_class	synteny_supported_DIRM	strict_synteny_QC_pass	strict_synteny_QC_fail_reasons	A_gene_coordinates	B_gene_coordinates	P_like_1_coordinates	P_like_2_coordinates	classification_update	Joint_reference_evidence_summary
SY365BB-0-4_bin24-k141_346659_3	SY365BB-0-4_bin24	IS	SY365BB	996.1	1460.6	438.7	1021.9	Yes	IdrA-HMM higher	IdrA-associated	63.4/99	VibritapetIdrA	IdrA	0.319294	aioB/aio-like neighborhood	No	No	No	Yes	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=VibritapetIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=63.4/99	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY365BB-0-4_bin24_SY365BB-0-4_bin24-k141_346659_2	IdrB_related	0		B2(+)-A3(+)	B:+;A:+	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	760-3468(+)	137-757(+)	-()	-()	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa.
SY365BB-8-12_bin10-k141_688982_32	SY365BB-8-12_bin10	IS	SY365BB	989.9	1395.5	454.5	941.0	Yes	IdrA-HMM higher	IdrA-associated	72.3/58	RuegerinterIdrA	IdrA	0.511614	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=72.3/58	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_31	IdrB_related	2	SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_29;SY365BB-8-12_bin10_SY365BB-8-12_bin10-k141_688982_30	P1like29(+)-P2like30(+)-B31(+)-A32(+)	P1like:+;P2like:+;B:+;A:+	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		28209-30887(+)	27615-28196(+)	25310-26428(+)	26443-27594(+)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as P1like29(+)-P2like30(+)-B31(+)-A32(+).
SY365BB-8-12_bin26-k141_1297159_20	SY365BB-8-12_bin26	IS	SY365BB	1000.0	1398.0	463.9	934.1	Yes	IdrA-HMM higher	IdrA-associated	72.3/58	RuegerinterIdrA	IdrA	0.486277	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=72.3/58	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_19	IdrB_related	2	SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_17;SY365BB-8-12_bin26_SY365BB-8-12_bin26-k141_1297159_18	P1like17(+)-P2like18(+)-B19(+)-A20(+)	P1like:+;P2like:+;B:+;A:+	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		21801-24479(+)	21207-21788(+)	18907-20028(+)	20041-21186(+)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as P1like17(+)-P2like18(+)-B19(+)-A20(+).
SY365BB-8-12_bin7-k141_1337394_7	SY365BB-8-12_bin7	IS	SY365BB	1029.6	1537.7	442.2	1095.5	Yes	IdrA-HMM higher	IdrA-associated	99.9/100	MoritelviscoIdrA	IdrA	0.055576	aioB/aio-like neighborhood	No	No	No	Yes	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=MoritelviscoIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=99.9/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY365BB-8-12_bin7_SY365BB-8-12_bin7-k141_1337394_6	IdrB_related	2	SY365BB-8-12_bin7_SY365BB-8-12_bin7-k141_1337394_4;SY365BB-8-12_bin7_SY365BB-8-12_bin7-k141_1337394_5	P1like4(+)-P2like5(+)-B6(+)-A7(+)	P1like:+;P2like:+;B:+;A:+	overlapping_support_gene_coordinates	partial DIRM-like neighborhood	no	no	overlapping_support_gene_coordinates	9700-12396(+)	9077-9697(+)	6725-7819(+)	7782-9080(+)	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: overlapping_support_gene_coordinates.
SY365BB-8-12_bin8-k141_832694_5	SY365BB-8-12_bin8	IS	SY365BB	989.1	1387.2	462.6	924.6	Yes	IdrA-HMM higher	IdrA-associated	98.6/100	RuegerinterIdrA	IdrA	0.449909	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=98.6/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY365BB-8-12_bin8_SY365BB-8-12_bin8-k141_832694_4	IdrB_related	2	SY365BB-8-12_bin8_SY365BB-8-12_bin8-k141_832694_2;SY365BB-8-12_bin8_SY365BB-8-12_bin8-k141_832694_3	P1like2(+)-P2like3(+)-B4(+)-A5(+)	P1like:+;P2like:+;B:+;A:+	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		3218-5896(+)	2623-3204(+)	328-1446(+)	1461-2600(+)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as P1like2(+)-P2like3(+)-B4(+)-A5(+).
SY366YB-0-4_bin3-k141_281514_2	SY366YB-0-4_bin3	IS	SY366YB	855.9	1260.5	374.4	886.1	Yes	IdrA-HMM higher	IdrA-associated	98/100	LabrenalbaIdrA	IdrA	0.318205	no idrB/idrP1/idrP2/aioB detected in DRAM +/-10 annotations	No	No	No	No	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=LabrenalbaIdrA (IdrA); neighborhood=no idrB/idrP1/idrP2/aioB detected in DRAM +/-10 annotations; nearest_node_support=98/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium			0		A2(-)	A:-	missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3	unresolved/truncated neighborhood	no	no	missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3	752-3181(-)	-()	-()	-()	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (unresolved/truncated neighborhood); reasons: missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3.
SY366YB-0-4_bin5-k141_98994_2	SY366YB-0-4_bin5	IS	SY366YB	993.7	1396.4	461.2	935.2	Yes	IdrA-HMM higher	IdrA-associated	98.6/100	RuegerinterIdrA	IdrA	0.442669	aioB/aio-like neighborhood	No	No	No	Yes	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=98.6/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY366YB-0-4_bin5_SY366YB-0-4_bin5-k141_98994_3	IdrB_related	0		A2(-)-B3(-)	A:-;B:-	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	751-3429(-)	3443-4024(-)	-()	-()	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa.
SY366YW-0-4_bin2-k141_1353278_2	SY366YW-0-4_bin2	IS	SY366YW	783.9	859.2	493.2	366.0	Yes	IdrA-HMM higher	Unknown-clade-associated	100/100	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown_clade	1.309782	aioB/aio-like neighborhood	No	No	No	Yes	unknown/uncertain DMSOR	Medium	IdrA-HMM higher; tree=Unknown-clade-associated; nearest_ref=ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium (Unknown_clade); neighborhood=aioB/aio-like neighborhood; nearest_node_support=100/100		rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	unknown/uncertain DMSOR	Medium	SY366YW-0-4_bin2_SY366YW-0-4_bin2-k141_1353278_1	IdrB_related	0		B1(+)-A2(+)	B:+;A:+	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	471-2969(+)	1-474(+)	-()	-()	retained_unknown_tree_boundary	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa.
SY366YW-0-4_bin34-k141_1276861_15	SY366YW-0-4_bin34	IS	SY366YW	961.3	1373.2	446.5	926.7	Yes	IdrA-HMM higher	IdrA-associated	95.9/99	RuegerinterIdrA	IdrA	0.316098	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=95.9/99	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY366YW-0-4_bin34_SY366YW-0-4_bin34-k141_1276861_16	IdrB_related	2	SY366YW-0-4_bin34_SY366YW-0-4_bin34-k141_1276861_17;SY366YW-0-4_bin34_SY366YW-0-4_bin34-k141_1276861_18	A15(-)-B16(-)-P1like17(-)-P2like18(-)	A:-;B:-;P1like:-;P2like:-	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		19424-22099(-)	22112-22690(-)	22704-23840(-)	23852-24982(-)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as A15(-)-B16(-)-P1like17(-)-P2like18(-).
SY366YW-0-4_bin9-k141_1360848_3	SY366YW-0-4_bin9	IS	SY366YW	982.0	1388.8	456.1	932.7	Yes	IdrA-HMM higher	IdrA-associated	76.4/97	RuegerinterIdrA	IdrA	0.37611	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=76.4/97	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY366YW-0-4_bin9_SY366YW-0-4_bin9-k141_1360848_4	IdrB_related	2	SY366YW-0-4_bin9_SY366YW-0-4_bin9-k141_1360848_5;SY366YW-0-4_bin9_SY366YW-0-4_bin9-k141_1360848_6	A3(-)-B4(-)-P1like5(-)-P2like6(-)	A:-;B:-;P1like:-;P2like:-	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		2837-5512(-)	5525-6079(-)	6091-7251(-)	7269-8390(-)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as A3(-)-B4(-)-P1like5(-)-P2like6(-).
SY366YW-4-8_bin7-k141_14765_13	SY366YW-4-8_bin7	IS	SY366YW	1175.0	388.4	1314.7	-926.3	Yes	AioA-HMM higher	AioA-associated	96.8/100	HalomonbolivieAioA	AioA	0.097997	aioB/aio-like neighborhood	No	No	No	Yes	canonical AioA-associated	High	AioA-HMM higher; tree=canonical AioA-associated; nearest_ref=HalomonbolivieAioA (AioA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=96.8/100		rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: D; Major Facilitator Superfamily [PF07690.21] (db=pfam)	canonical AioA-associated	High	SY366YW-4-8_bin7_SY366YW-4-8_bin7-k141_14765_12	canonical_AioB	0		B12(+)-A13(+)	B:+;A:+	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	Aio-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	14352-16832(+)	13817-14335(+)	-()	-()	retained_canonical_AioA_Aio_like_neighborhood	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (Aio-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa.
SY366YW-8-12_bin2-k141_497241_22	SY366YW-8-12_bin2	IS	SY366YW	995.7	1391.1	467.0	924.1	Yes	IdrA-HMM higher	IdrA-associated	94.2/96	RuegerinterIdrA	IdrA	0.480113	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=94.2/96	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_23	IdrB_related	2	SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_24;SY366YW-8-12_bin2_SY366YW-8-12_bin2-k141_497241_25	A22(-)-B23(-)-P1like24(-)-P2like25(-)	A:-;B:-;P1like:-;P2like:-	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		25062-27740(-)	27752-28339(-)	28354-29505(-)	29526-30644(-)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as A22(-)-B23(-)-P1like24(-)-P2like25(-).
SY368YW-4-8_bin24-k141_617455_9	SY368YW-4-8_bin24	IS	SY368YW	1177.5	1762.1	486.2	1275.9	Yes	IdrA-HMM higher	IdrA-associated	95.5/100	DefluviaquaeIdrA	IdrA	0.141166	aioB/aio-like neighborhood	No	No	No	Yes	IdrA-associated phylogenetic lineage	Medium	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=DefluviaquaeIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=95.5/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-7:rank: D; Putative transposase [PF04986.18] (db=pfam); -6:rank: C; putative transposase (db=kegg); -1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY368YW-4-8_bin24_SY368YW-4-8_bin24-k141_617455_8	IdrB_related	2	SY368YW-4-8_bin24_SY368YW-4-8_bin24-k141_617455_6;SY368YW-4-8_bin24_SY368YW-4-8_bin24-k141_617455_7	P1like6(+)-P2like7(+)-B8(+)-A9(+)	P1like:+;P2like:+;B:+;A:+	overlapping_support_gene_coordinates	partial DIRM-like neighborhood	no	no	overlapping_support_gene_coordinates	7841-10504(+)	7273-7824(+)	5054-6145(+)	6158-7276(+)	retained_medium_no_strict_complete_DIRM_like_QC	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: overlapping_support_gene_coordinates.
SY368YW-8-12_bin14-k141_222555_4	SY368YW-8-12_bin14	IS	SY368YW	775.5	864.9	475.0	389.9	Yes	IdrA-HMM higher	Unknown-clade-associated	100/100	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown_clade	1.24617	aioB/aio-like neighborhood	No	No	No	Yes	unknown/uncertain DMSOR	Medium	IdrA-HMM higher; tree=Unknown-clade-associated; nearest_ref=ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium (Unknown_clade); neighborhood=aioB/aio-like neighborhood; nearest_node_support=100/100		rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	unknown/uncertain DMSOR	Medium	SY368YW-8-12_bin14_SY368YW-8-12_bin14-k141_222555_5	IdrB_related	0		A4(-)-B5(-)	A:-;B:-	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	5802-8312(-)	8309-9061(-)	-()	-()	retained_unknown_tree_boundary	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa.
SY368YW-8-12_bin16-k141_314641_4	SY368YW-8-12_bin16	IS	SY368YW	776.8	871.9	482.3	389.6	Yes	IdrA-HMM higher	Unknown-clade-associated	95.1/100	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown_clade	1.260502	aioB/aio-like neighborhood	No	No	No	Yes	unknown/uncertain DMSOR	Medium	IdrA-HMM higher; tree=Unknown-clade-associated; nearest_ref=ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium (Unknown_clade); neighborhood=aioB/aio-like neighborhood; nearest_node_support=95.1/100		rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	-1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	unknown/uncertain DMSOR	Medium	SY368YW-8-12_bin16_SY368YW-8-12_bin16-k141_314641_3	canonical_AioB	0		B3(+)-A4(+)	B:+;A:+	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	no	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	2042-4516(+)	1452-2042(+)	-()	-()	retained_unknown_tree_boundary	Strict synteny QC did not support a complete A-B-related-P-like-P-like neighborhood (partial DIRM-like neighborhood); reasons: fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa.
SY368YW-8-12_bin33-k141_1103131_193	SY368YW-8-12_bin33	IS	SY368YW	987.6	1382.6	461.4	921.2	Yes	IdrA-HMM higher	IdrA-associated	94.4/42	RuegerinterIdrA	IdrA	0.458536	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=94.4/42	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY368YW-8-12_bin33_SY368YW-8-12_bin33-k141_1103131_194	IdrB_related	2	SY368YW-8-12_bin33_SY368YW-8-12_bin33-k141_1103131_195;SY368YW-8-12_bin33_SY368YW-8-12_bin33-k141_1103131_196	A193(-)-B194(-)-P1like195(-)-P2like196(-)	A:-;B:-;P1like:-;P2like:-	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		207664-210342(-)	210355-210936(-)	210958-212103(-)	212119-213237(-)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as A193(-)-B194(-)-P1like195(-)-P2like196(-).
SY456YB-0-4_bin8-k141_492248_42	SY456YB-0-4_bin8	IS	SY456YB	990.0	1395.7	454.9	940.8	Yes	IdrA-HMM higher	IdrA-associated	88.3/100	RuegerinterIdrA	IdrA	0.504058	aioB/aio-like neighborhood	No	No	No	Yes	synteny-supported IdrA/DIRM-like neighborhood-associated lineage	High	IdrA-HMM higher; tree=IdrA-associated; nearest_ref=RuegerinterIdrA (IdrA); neighborhood=aioB/aio-like neighborhood; nearest_node_support=88.3/100	IdrA tree/HMM evidence lacks complete idrB-idrP1-idrP2 neighborhood; aioB/arsenite oxidase small subunit detected near an IdrA-associated tree tip	rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	0:rank: C; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1] (db=kegg); 1:rank: C; arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1] (db=kegg)	IdrA-associated	Medium	SY456YB-0-4_bin8_SY456YB-0-4_bin8-k141_492248_43	IdrB_related	2	SY456YB-0-4_bin8_SY456YB-0-4_bin8-k141_492248_44;SY456YB-0-4_bin8_SY456YB-0-4_bin8-k141_492248_45	A42(-)-B43(-)-P1like44(-)-P2like45(-)	A:-;B:-;P1like:-;P2like:-	strict_QC_pass	complete DIRM-like neighborhood	yes	yes		39113-41791(-)	41804-42385(-)	42406-43548(-)	43564-44685(-)	upgraded_by_strict_A_B_related_P_like_P_like_QC	Strict synteny QC passed: distinct B-related and two distinct P-like CDS are on the same contig, non-overlapping, compactly arranged as A42(-)-B43(-)-P1like44(-)-P2like45(-).
