contig_gene	MAG	habitat_in_classification	clade_display	final_clade	final_clade_name	habitat	habitat_source_match
SY456YB-4-8_bin24-k141_314185_12	SY456YB-4-8_bin24	IS	IdrA phylogenetic	Clade 3	IdrA-associated without complete DIRM-like synteny	IS	TRUE
SY456YB-8-12_bin5-k141_222164_2	SY456YB-8-12_bin5	IS	IdrA phylogenetic	Clade 3	IdrA-associated without complete DIRM-like synteny	IS	TRUE
SY457BB-0-4_bin2-k141_509701_9	SY457BB-0-4_bin2	IS	IdrA phylogenetic	Clade 3	IdrA-associated without complete DIRM-like synteny	IS	TRUE
SY457BB-8-12_bin10-k141_377897_3	SY457BB-8-12_bin10	IS	IdrA phylogenetic	Clade 3	IdrA-associated without complete DIRM-like synteny	IS	TRUE
SY457BB-8-12_bin16-k141_1142550_1	SY457BB-8-12_bin16	IS	IdrA phylogenetic	Clade 3	IdrA-associated without complete DIRM-like synteny	IS	TRUE
SY459WG-4-8_bin8-k141_320908_36	SY459WG-4-8_bin8	IS	IdrA phylogenetic	Clade 3	IdrA-associated without complete DIRM-like synteny	IS	TRUE
SY459WG-8-12_bin19-k141_364478_5	SY459WG-8-12_bin19	IS	IdrA phylogenetic	Clade 3	IdrA-associated without complete DIRM-like synteny	IS	TRUE
SQ_58_0-4_bin4-k141_1629246_3	SQ_58_0-4_bin4	AS	Uncertain DMSOR	Clade 2	Unknown/uncertain DMSOR	AS	TRUE
SY366YW-0-4_bin2-k141_1353278_2	SY366YW-0-4_bin2	IS	Uncertain DMSOR	Clade 2	Unknown/uncertain DMSOR	IS	TRUE
SY368YW-8-12_bin14-k141_222555_4	SY368YW-8-12_bin14	IS	Uncertain DMSOR	Clade 2	Unknown/uncertain DMSOR	IS	TRUE
SY368YW-8-12_bin16-k141_314641_4	SY368YW-8-12_bin16	IS	Uncertain DMSOR	Clade 2	Unknown/uncertain DMSOR	IS	TRUE
SY459WG-0-4_bin26-k141_460220_2	SY459WG-0-4_bin26	IS	Uncertain DMSOR	Clade 2	Unknown/uncertain DMSOR	IS	TRUE
SY459WG-4-8_bin39-k141_681176_50	SY459WG-4-8_bin39	IS	Uncertain DMSOR	Clade 2	Unknown/uncertain DMSOR	IS	TRUE
R2111_N500_0-10_bin13-k141_4404301_3	R2111_N500_0-10_bin13	NS	Uncertain DMSOR	Clade 2	Unknown/uncertain DMSOR	NS	TRUE
