user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SY365BB-8-12_bin10	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	94.12	11	0.96592	N/A
SY365BB-8-12_bin26	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP181;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP181;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	94.52	11	0.96506	N/A
SY365BB-8-12_bin7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Moritellaceae;g__Moritella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Moritellaceae;g__Moritella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000170855.1, s__Moritella sp000170855, 95.0, 85.33, 0.231; GCF_013215705.1, s__Moritella sp013215705, 95.0, 85.12, 0.21; GCF_002836355.1, s__Moritella sp002836355, 95.0, 85.1, 0.227; GCF_018219155.1, s__Moritella sp018219155, 95.0, 85.06, 0.216; GCF_900465055.1, s__Moritella yayanosii, 95.0, 85.06, 0.201; GCF_001574435.1, s__Moritella sp001574435, 95.0, 84.94, 0.21; GCA_000953735.1, s__Moritella viscosa, 95.0, 84.91, 0.204; GCF_018219455.1, s__Moritella sp018219455, 95.0, 84.74, 0.211; GCF_000276805.1, s__Moritella dasanensis, 95.0, 84.71, 0.203; GCF_015082335.1, s__Moritella sp015082335, 95.0, 84.6, 0.202; GCF_008931805.1, s__Moritella marina, 95.0, 84.57, 0.184; GCF_033791185.1, s__Moritella sp033791185, 95.0, 84.36, 0.204	64.91	11	0.97297	N/A
SY365BB-8-12_bin8	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__	N/A	N/A	N/A	N/A	N/A	GCA_937132145.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__NORP23 sp937132145	83.57	0.277	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_023134935.1, s__NORP23 sp023134935, 95.0, 88.01, 0.385; GCA_937901055.1, s__NORP23 sp937901055, 95.0, 83.01, 0.161; GCA_002746395.1, s__NORP23 sp002746395, 95.0, 82.79, 0.32; GCA_002367255.1, s__NORP23 sp002367255, 95.0, 82.65, 0.234; GCA_002162875.1, s__NORP23 sp002162875, 95.0, 82.12, 0.227; GCA_016765235.1, s__NORP23 sp016765235, 95.0, 80.94, 0.184	36.68	11	0.97778	Genome has more than 15.8% of markers with multiple hits
SY366YB-0-4_bin3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__HK1;f__HK1;g__JAABYT01;s__JAABYT01 sp964194585	GCA_964194585.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__HK1;f__HK1;g__JAABYT01;s__JAABYT01 sp964194585	98.07	0.618	GCA_964194585.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__HK1;f__HK1;g__JAABYT01;s__JAABYT01 sp964194585	98.07	0.618	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__HK1;f__HK1;g__JAABYT01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	38.6	11	N/A	N/A
SY366YB-0-4_bin5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__	N/A	N/A	N/A	N/A	N/A	GCA_023134935.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__NORP23 sp023134935	94.54	0.653	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP23;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_937901055.1, s__NORP23 sp937901055, 95.0, 84.35, 0.167; GCA_002746395.1, s__NORP23 sp002746395, 95.0, 84.11, 0.235; GCA_937132145.1, s__NORP23 sp937132145, 95.0, 84.1, 0.2; GCA_002162875.1, s__NORP23 sp002162875, 95.0, 83.86, 0.193; GCA_016765235.1, s__NORP23 sp016765235, 95.0, 83.62, 0.164	56.33	11	0.99466	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SY366YW-0-4_bin2	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__JACZST01;s__	N/A	N/A	N/A	N/A	N/A	GCA_964195125.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__JACZST01;s__JACZST01 sp964195125	96.85	0.416	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__JACZST01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_022566415.1, s__JACZST01 sp022566415, 95.0, 91.07, 0.326; GCA_022574065.1, s__JACZST01 sp022574065, 95.71, 90.93, 0.2; GCA_036985755.1, s__JACZST01 sp036985755, 95.0, 87.75, 0.164	44.58	11	0.99153	N/A
SY366YW-0-4_bin34	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA8366;f__GCA-2696645;g__JARFVT01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA8366;f__GCA-2696645;g__JARFVT01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.91	11	0.8614	N/A
SY366YW-0-4_bin9	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Casp-alpha2;g__JABJOR01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Casp-alpha2;g__JABJOR01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.36	11	0.9456	N/A
SY366YW-4-8_bin7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Vreelandella;s__Vreelandella sp000235725	GCF_030544485.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Vreelandella;s__Vreelandella sp000235725	96.53	0.742	GCF_030544485.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Vreelandella;s__Vreelandella sp000235725	96.53	0.742	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Vreelandella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_013371085.1, s__Vreelandella maris, 95.0, 93.95, 0.723; GCF_013415125.1, s__Vreelandella glaciei, 95.0, 92.15, 0.644; GCF_022489065.1, s__Vreelandella neptunia_A, 95.0, 86.27, 0.504; GCA_002366715.1, s__Vreelandella sp002366715, 95.0, 85.88, 0.536; GCF_000336575.1, s__Vreelandella titanicae, 95.0, 85.57, 0.467; GCF_013416325.1, s__Vreelandella sedimenti, 95.0, 85.35, 0.45; GCF_001882345.1, s__Vreelandella sp001882345, 95.0, 85.28, 0.494; GCF_029854215.1, s__Vreelandella alkaliantarctica_A, 95.0, 84.9, 0.49; GCF_034479615.1, s__Vreelandella neptunia, 95.0, 84.75, 0.429; GCA_002257525.1, s__Vreelandella ventosae_B, 95.0, 84.62, 0.44; GCF_000236035.1, s__Vreelandella boliviensis, 95.0, 84.19, 0.426; GCF_002211105.1, s__Vreelandella campaniensis_A, 95.0, 84.16, 0.396; GCF_026104355.1, s__Vreelandella sp020428305, 95.0, 84.02, 0.413; GCA_004295565.1, s__Vreelandella olivaria, 95.0, 84.0, 0.388; GCA_007182875.1, s__Vreelandella sulfidaeris, 95.0, 83.77, 0.393; GCF_031010175.1, s__Vreelandella sp031010175, 95.0, 83.69, 0.395; GCF_001651035.1, s__Vreelandella sp001651035, 95.0, 83.38, 0.336; GCF_031010195.1, s__Vreelandella sp031010195, 95.0, 82.54, 0.306; GCA_001507855.1, s__Vreelandella sp001507855, 95.0, 82.46, 0.25; GCF_033052795.2, s__Vreelandella sp033052795, 95.0, 82.34, 0.302; GCA_011050415.1, s__Vreelandella sp011050415, 95.0, 82.02, 0.264; GCF_007991175.1, s__Vreelandella variabilis, 95.0, 81.76, 0.297; GCA_007692655.1, s__Vreelandella sp007692655, 95.0, 81.23, 0.176; GCA_963975065.1, s__Vreelandella sp963975065, 95.0, 80.86, 0.182; GCF_019722725.1, s__Vreelandella profundi, 95.0, 80.52, 0.194; GCF_014897975.1, s__Vreelandella casei, 95.0, 80.36, 0.172	96.21	11	N/A	N/A
SY366YW-8-12_bin2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_964195605.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__Amylibacter sp964195605	92.54	0.848	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_030625465.1, s__Amylibacter sp030625465, 95.0, 83.92, 0.183; GCA_016764475.1, s__Amylibacter sp016764475, 95.0, 81.43, 0.265; GCA_021775355.1, s__Amylibacter sp021775355, 95.0, 80.14, 0.178	96.64	11	0.98712	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SY368YW-4-8_bin24	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudorhodobacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_937910975.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudorhodobacter;s__Pseudorhodobacter sp937910975	91.45	0.625	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudorhodobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003991405.1, s__Pseudorhodobacter sp003991405, 95.0, 82.46, 0.241	68.41	11	0.99422	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SY368YW-8-12_bin14	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__JAENVV01;g__CAXMPE01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__JAENVV01;g__CAXMPE01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	55.92	11	0.97643	N/A
SY368YW-8-12_bin16	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__ZC4RG35;g__SZUA-217;s__SZUA-217 sp030623125	GCA_030623125.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__ZC4RG35;g__SZUA-217;s__SZUA-217 sp030623125	98.3	0.788	GCA_030623125.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__ZC4RG35;g__SZUA-217;s__SZUA-217 sp030623125	98.3	0.788	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__ZC4RG35;g__SZUA-217;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_036446835.1, s__SZUA-217 sp036446835, 95.0, 91.13, 0.615; GCA_964194555.1, s__SZUA-217 sp964194555, 95.0, 91.12, 0.585; GCA_036446715.1, s__SZUA-217 sp036446715, 95.0, 90.91, 0.426; GCA_004356805.1, s__SZUA-217 sp004356805, 95.0, 83.78, 0.228; GCA_003230435.1, s__SZUA-217 sp003230435, 95.0, 83.2, 0.193; GCA_027296205.1, s__SZUA-217 sp027296205, 95.0, 82.77, 0.188	62.77	11	N/A	N/A
SY368YW-8-12_bin33	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Profundibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Profundibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002732995.1, s__Profundibacter sp002732995, 95.0, 81.15, 0.204; GCF_003544895.1, s__Profundibacter amoris, 95.0, 79.99, 0.18	71.62	11	0.94732	N/A
SY456YB-0-4_bin8	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__	N/A	N/A	N/A	N/A	N/A	GCA_030625565.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__JAAEUB01 sp030625565	85.51	0.545	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAEUB01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	88.86	11	0.98108	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SY456YB-4-8_bin24	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Cocleimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Cocleimonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	91.14	11	0.98124	N/A
SY456YB-8-12_bin27	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__Amylibacter sp030625465	GCA_030625465.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__Amylibacter sp030625465	95.39	0.826	GCA_030625465.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__Amylibacter sp030625465	95.39	0.826	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_964195605.1, s__Amylibacter sp964195605, 95.0, 80.74, 0.18; GCA_016764475.1, s__Amylibacter sp016764475, 95.0, 80.42, 0.192	81.16	11	N/A	N/A
SY456YB-8-12_bin34	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Profundibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Profundibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002352425.1, s__Profundibacter sp002352425, 95.0, 81.54, 0.271; GCA_033851955.1, s__Profundibacter sp033851955, 95.0, 81.46, 0.263; GCA_002732995.1, s__Profundibacter sp002732995, 95.0, 80.5, 0.176	57.9	11	0.97107	N/A
SY456YB-8-12_bin4	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__JALWJW01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__JALWJW01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.35	11	0.95706	N/A
SY456YB-8-12_bin5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	56.41	11	0.88425	N/A
SY457BB-0-4_bin2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__Poriferihabitantaceae;g__JAAELZ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__Poriferihabitantaceae;g__JAAELZ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.04	11	0.97137	N/A
SY457BB-0-4_bin35	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Falsihalocynthiibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Falsihalocynthiibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	71.96	11	0.95903	N/A
SY457BB-0-4_bin6	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP110;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NORP110;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	94.4	11	0.89558	N/A
SY457BB-4-8_bin29	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	72.86	11	0.94591	N/A
SY457BB-4-8_bin33	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NVTR01;s__NVTR01 sp030625325	GCA_030625325.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NVTR01;s__NVTR01 sp030625325	95.84	0.942	GCA_030625325.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NVTR01;s__NVTR01 sp030625325	95.84	0.942	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NVTR01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	94.84	11	N/A	N/A
SY457BB-8-12_bin10	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	66.72	11	0.9454	N/A
